"","jpCourt","n","percent"
"1","Court 1-1",873,32.8195488721804
"2","Court 1-2",60,2.25563909774436
"3","Court 3-1",633,23.796992481203
"4","Court 4-1",103,3.87218045112782
"5","Court 4-2",40,1.50375939849624
"6","Court 5-1",950,35.7142857142857
"7","Court 5-2",1,0.037593984962406
"8","Total",2660,100
